skeptical, adj. 怀疑的
exquisite," adj. 精挑细选的，精致的,细腻的,强烈的
n. 过分在意外表着装的人"
poised," adj. 坦然自若的，保持平衡的
动词poise的过去式和过去分词"
solubility, n. 可溶性，溶解度，解决之可能性
syntax, n. 句法
benign," adj. 仁慈的,温和的,良性的"
collage," n. 抽象拚贴画（用报纸、布、压平的花等碎片拼合而成的）
vt. 把…创作成拼贴画，拼贴"
numb," adj. 麻木的,失去知觉的,无动于衷的
vt. 使...麻木,使...昏迷,使...失去知觉"
beset," vt. 包围, 困扰，镶嵌"
humanistic," adj. 人文主义的, 人本主义的, 人道主义的"
transpiration, n. 蒸发
assortment," n. 分类, 配合, 各色俱备之物"
athleticism," n.运动竞赛,崇尚运动,竞技热"
imitative," adj. 仿制的, 模仿的"
fluctuate," vi. 变动, 上下, 动摇
vt. 使动摇"
irrationality, n. 不合理，无理性
boisterous," adj. 喧闹的,欢闹的"
smug," adj. 自以为是的,满漂亮的,俏皮的
n. 书呆子,难以交往的家伙"
enormously," adj. 巨大的,庞大的
adv. 巨大地"
bestow," vt. 授予,适用,利用"
certitude," n. 确实, 确信"
herring," n. 青鱼,鲱,紧密"
transmutation," n. 变形, 变化
n.  嬗变, 换变, 蜕变"
inapplicable," adj. 不能应用的, 不适用的"
downfall," n. 垮台, 暴雨，衰落的原因"
oxide, n. 氧化物
irresolute," adj. 未决定的, 优柔寡断的, 踌躇不定的"
credulous, adj. 轻信的
adherence, n. 坚持，固守，粘附
unquestioning," adj. 无异议的(不提出疑问的,不犹豫的)"
achievable, adj. 做得成的，可完成的，可有成就的
encrust, vt. 包以外壳(结壳)
constructor, n. 建造者，施工人员，构造函数，构造器
exogamy, n. 异族通婚
impervious," adj. 不能渗透的, 不为所动的"
proceed," vi. 继续进行; 开始, 着手"
coincidentally," adv. 巧合地, 同时发生地
=coincidently"
inexplicable," adj. 无法说明的, 无法解释的, 费解的"
conservator, n. 保护者，管理员，管理委员
frantic," adj. 疯狂的, 狂乱的"
hymnal, n. 赞美诗集
albeit, conj. 虽然(即使)
permeate," v. 弥漫, 渗透, 普及"
ruff," n. 轮状皱领, 翎颌
n. 矶鹞, 梅花鲈
n. 出王牌, 王牌游戏
v. 出王牌"
observable," adj. 可观察到的,值得注意的, 可遵守的
n. [物]可观察量(观察符号)"
censure," n. 责难, 非难
v. 非难, 责备，公开谴责"
inventive," adj. 善于创造的, 发明的"
feminism," n. 男女平等主义,女权运动"
editorialize," vi. 发表社论，发表意见
=editorialise(英)"
ramification," n. 分枝, 分叉, 衍生物, 支流"
chunk," n. 厚块（片）, 相当大的量，矮胖的人或物
vt. （高尔夫球）没击中
vi. 发出猛冲的声音"
conundrum," n. 迷,难题,迷样的人"
predicament," n. 状态, 穷境, 困局"
newborn," adj. 新生的
n. 新生儿"
rigorous," adj. 严厉的,严酷的,严格的,细致的"
embroider," v. 刺绣, 镶边, 装饰"
receptor," n. 受容器, 感觉器官, 摄取体"
printer, n. 打印机，印刷工
probity," n. 诚实, 廉洁, 正直"
empathy,"n. n. 移情作用,共鸣, 执着投入，同理心"
sparse," adj. 稀少的, 稀疏的"
promotion," n. 促进,提升,推广"
historian, n. 历史学家，编史者
millimeter, n. 毫米
jockey," n. 赛马的骑师, 驾驶员, 操作工
vt. 骑马，驾驶（操作），瞒骗, 骗人使做...
vi. 当骑士骑马，运用手段谋利"
dependence," n. 依赖, 信赖，上瘾"
reconciliation," n. 调和(和解,一致,甘愿)"
impossibly," adv.不可能地,无法可想地"
craftsmanship, n. 手艺
eclecticism, n. 折衷主义
nebula," n. [天]星云, [医]角膜云翳"
correspondence, n. 通信；一致；相当
exchangeable," adj. 可交换的, 可兑换的, 可替换的"
conventionalize, vt. 使照惯例，使习俗化
respectability, n. 受尊重
interpretative," adj. 作为说明的，解释的
=interpretive"
ethnographer, n. 民族志学者
championship," n. 锦标赛,冠军，拥护"
revision," n. 校订,修正,修订本
n. 复习,重温"
illuminate," vt. 照明,阐释,说明"
performer," n. 表演者, 执行者"
sexism, n. 性别歧视
immigrate, v. 移居入境
uptake," n. 摄取, 领会
n. 上风井"
complement," n. 补语；余角；补足物；补体
vt. 补足，补助"
reinstate," v. 恢复(原职)
vt. 使恢复原有的职位"
impeccable, adj. 无瑕疵的
redeem," vt. 赎回, 挽回, 履行"
conceptual, adj. 概念上的
legalize," vt. 使合法化, 法律上认为正当
=legalise"
cultural," adj. 文化的,和养动植物有关的"
uncritical," adj. 不批评的, 不加批评的"
ironically," adv. 说反话地, 讽刺地"
disconnected," adj. 分离的, 不连贯的, 切断的
动词disconnect的过去式和过去分词形式"
hallmark," n. 纯度检验证明, 品质证明
v. 加盖纯度检验证明, 有品质保证的"
inadvertent," adj. 不注意的, 疏忽的，非故意的"
itinerary," n. 旅程, 旅行指南, 游记
adj. 巡回的, 游历的, 旅程的"
hearten," vt. 鼓励, 激励, 振作"
stationary," adj. 不动的(稳定的)
n. 固定物(驻军)"
photochemical," adj. 光化作用的, 光化学的"
reprehensible," adj. 应斥责的,应该谴责的"
dabble," v. 喷洒，玩水, 泼溅，涉猎"
repressive," adj. 压抑的, 抑制的, 镇压的"
deceptive," adj. 迷惑的, 虚伪的, 诈欺的"
versatility," n. 多才多艺, 多样性，多功能"
tempo," n. 拍子, 速率"
undersized," adj. 尺寸不足的
=undersize"
abstraction," n. 抽象, 抽象概念, 心不在焉"
currency, n. 货币; 流通
resettlement," n. 重新定居, 重新安置"
respiratory, adj. 呼吸的
reconcilable, adj. 可和解的，可调和的
affiliation," n. 加入,联盟,友好关系,附属"
crystallize," v.（使）结晶, （使）具体化, （使）成蜜饯"
parasite," n. 寄生虫,寄生生物，食客"
interact," vi. 相互作用,相互影响"
reorganization," n. 改组, 再编制, 改造"
radically," adv. 根本地, 完全地，过激地"
senator, n. 参议员
polemic," n. 争论, 论战，辩论者
adj. 争论的"
quarantine," n. 四十天,隔离,封锁交通,检疫期间
vt. 检疫,停止交涉
vi. 检疫"
irrigate," vi. 进行灌溉
vt. 灌溉"
pollutant, n. 污染物质
shaky," adj. 不稳固的, 摇晃的"
echolocation, n. 回声定位法
maniacal," adj. 发狂的, 狂乱的，狂热的
=maniac"
shipment," n. 装船,货物,出货"
deprive," vt. 剥夺,拒绝,免职"
wary," adj. 小心的,机警的,周到的"
hieroglyph," n. 象形文字, 图画文字, 秘密文字"
deity," n. 神, 神性
Deity
n. （前加the）上帝"
compassionate," adj. 有同情心的
vt. 同情"
insofar, adv. 到 ... 程度，在 ... 范围内
reputed," adj. 名誉好的,被称为...的,有...名气的"
dispense," vt. 分配，分发；免除；执行
vi. 免除，豁免"
survival," n. 生存,幸存者"
adhesive," adj. 相聚为伍的,有粘性的
n. 粘性物"
laudatory," adj. 赞美的, 赞赏的"
discrepancy," n. 相差,差异,差别"
imperfect," adj. 不完美的，有缺点的, 未完成的
[语]未完成时的
[律]在法律上不能实施的"
inimical," adj. 为敌的, 不友善的"
affinity," n. 姻亲,密切关系,吸引力"
seismic, adj. 地震的
anachronistic, adj. 时代错误的，落伍的
diffuse," vt. 散播,使(气体或液体)慢慢混合
vi. 弥漫,扩散
adj. 冗长的,四散的,散漫的"
ritual," n. 仪式,典礼,宗教仪式,固定程序
adj. 仪式的,依仪式而行的，老规矩的，惯常的"
discount," n. 折扣, 贴现率
vt. 打折扣, 贴现, 不重视，不全信
vi. 贴现, 减息贷款"
subside," vi. 沉没,平息"
workplace, n. 工作场所
lengthy," adj. 冗长的, 漫长的"
workforce," n. 劳动力, 工人总数, 职工总数"
untrue," adj. 不真实的，不正确的, 不忠实的"
pollinate," v. 给...授粉
vt. 授以花粉"
maneuver," n. 演习,调遣,策略
vt. 调遣,演习,巧妙地操纵
vi. 调遣,演习,用计策"
anatomy," n. 解剖学, 解剖学专著，分解，解剖，骨骸"
sectarianism, n. 宗派主义
shrinkage," n. 收缩, 减少，损失，损耗"
oppression," n. 压抑, 沉闷, 压迫手段"
hydrate," n. 水化物
v. （使）水合"
tendon, n. 腱
deservedly," adv. 应得报酬地, 当然地"
antagonism, n. 对抗，对立，敌对状态（行为）
lukewarm," adj. 微温的, 不热的"
economically, adv. 在经济上，节约地
fern, n. 羊齿植物，蕨
ferret," n. 白鼬, 雪貂, 侦探
v. 用雪貂打猎, 搜出, 驱出"
favored," adj. 有利的；受到优待的；受到喜爱的
v. 赞成；宠爱；帮助（favor的过去分词）；给…以恩惠"
kinship," n. 血缘关系, 亲属关系"
endear, v. 使受喜爱
massive," adj. 巨大的, 大规模的, 大量的, 大范围的"
streamline," n. 流线, 流线型
v. 使...成流线型, 使...合理化"
empirical, adj. 经验主义的
oligarchy, n. 寡头政治，寡头集团
maritime," adj. 海的, 海上的, 海事的"
chuckle," v. 轻声笑,咯咯笑,暗自笑
n. 轻声笑,咯咯笑"
photosynthesis, n. 光合作用
fixate," v. 早期停止性的成熟, 视线移向, 注视"
polymer, n. 聚合体
directive," adj. 指导的, 指挥的, 管理的
n. 指令
[计算机] 指令"
martinet, n. 要求严格服从纪律的人
assiduous," adj. 勤勉的, 刻苦的"
enterprise," n. 企业,企划,进取心"
disarm," v. 解除武装, 恢复平常的编制, 缓和"
foretell," vt. 预言, 预告, 预示"
equilibrium," n. 平衡,均衡"
methodical," adj. 有方法的,有系统的"
meditation," n. 沉思,冥想"
spectator," n. 观众, 旁观者"
raindrop, n. 雨点，雨滴
monarch," n. 帝王, 统治者, 元首/nn. 君王斑点蝶"
disenchanted," adj. 不再抱幻想的，不再着迷的，感到幻灭的
动词disenchant的过去式和过去分词"
sanctuary," n. 圣所, 耶路撒冷的神殿, 至圣所"
endogamy, n. 同族结婚，同系交配
archaeology, n. 考古学，古迹，文物
evasive," adj. 逃避的,回避的,托辞的"
ballot," n. 投票,投票用纸
vi. 投票"
stronghold," n. 要塞, 堡垒, 中心地"
faction," n. 小派系, 内讧"
reconstruction," n. 复兴, 改造, 再建"
contaminate," vt. 弄脏,污染"
negate," v. 否定, 否认, 打消"
preclude, vt. 排除；妨碍；阻止
theme," n. 题目, 主题"
utopian," adj. 乌托邦式的, 梦想的
n. 空想家"
cathode, n. 阴极
sebum, n. 皮脂
homeostasis, n. 自动平衡，体内平衡
seedling, n. 幼苗
fanciful," adj. 奇怪的, 稀奇的, 想像的"
asymmetric, adj. 不对称的
incredulous," adj. 怀疑的, 不轻信的"
ordinarily," adv. 通常, 普通, 大概"
colonization," n. 殖民, 殖民地化"
orientation," n. 信仰,趋向,定位,适应,情况介绍
[计算机] 定向"
undercount," vt. 少计
n. 不足的登记, 不完全统计"
outbreak, n. 爆发
elite," n. 精华, 精锐, 中坚份子"
undeserved," adj. 不值得的,不相称的,不当的"
pluralism, n. 多元论，兼职（尤指神职）
endeavor," n. 努力, 尽力, 进取心
vt. 努力,尽力
vi. 企图, 谋求"
periodicity," n. 定期性,周期性,周期数"
dispassionate," adj. 冷静的, 不带感情的，平心静气的"
sorority," n. 妇女联谊会, 女学生联谊会"
artistry, n. 艺术性，艺术才能
combatant, n. 战士；争斗者
intruder," n. 侵入者, 干扰者, 妨碍者"
overrule," v. (高位的人)不准,否决(低位的人或事)"
economist," n. 经济学家
&lt;古&gt;节俭的人"
envision," n. 预想
v. 想象,预想
vt. 想象"
fraudulent," adj. 欺诈的, 不正的, 不诚实的"
whereupon," conj. 因此, 在什么上面，然后, 于是"
sibling, n. 兄弟姐妹
persistence," n. 坚持(余辉,时间常数)"
categorical," adj. 无条件的,绝对的"
volunteer," n. 志愿者,自行生长的植物
adj. 志愿的,自行生长的(树等)
vt. &vi. 自愿(做)"
stereotypical," n. 铅版，陈腔滥调，老一套
vt. 使用铅版，套用老套"
photography, n. 摄影术
harbor," n. 海港,避难所
vt. 庇护,心怀,窝藏
vi. 进入避祸所,生存"
geologic, adj. 地质的
aerodynamic, adj. 空气动力的(气动的)
egalitarian," adj. 平等主义的
n. 平等主义者"
gem," n. 宝石,珍品,受到宠爱或评价很高的人,松糕
vt. 用宝石装饰"
remunerative," adj. 有报酬的,有利的,合算的"
vacillate," vi. 游移不定, 踌躇, 犹豫"
hind," n. 雌鹿，石斑鱼
adj. 后部的, 在后的"
fortuitous," adj. 偶然的, 意外的，幸运的"
shortsighted, adj. 近视的，缺乏远见的
calculus, n. 微积分
ligament," n. 韧带,结带, 纽带"
solute, n. 溶解物
argumentative," adj. 爱争论的, 好辩论的"
ascription, n. 归因，归功，归咎
moderation," n. 缓和, 适度, 节制"
recognizable," adj. 可认识的, 可承认的, 可辨别的"
predominant," adj. 优越的, 占主导地位的"
harmonious," adj. 和睦的, 和谐的, 音调优美的"
restate, vt. 重申
Celsius, adj. 摄氏的
corporate," adj.社团的, 法人的, 共同的, 全体的"
probe," n. 探针,调查,探测器
vt. 用探针测,详细调查
vi. 详细调查"
multifaceted, adj. 多层面的
propensity," n. 倾向,习性"
reciprocity," n. 相互性, 相互作用, 互惠主义"
encroachment," n. 侵蚀, 侵犯"
landscape," n. 风景,山水,风景画
v. 美化…的景观,进行造园工程"
monumental," adj. 纪念碑的，作为纪念的, 不朽的"
pertain," vi. 从属, 关于"
homage, n. 敬意，效忠
qualification," n. 资格, 条件, 限制"
construe," v. 解释, 翻译
vt. 解释"
optic," n. 镜片
adj. 光的(视觉的)"
intimacy," n. 亲昵的言行,熟悉,亲密,密切关系"
emotive, adj. (激起)感情的，引起强烈感情的
passersby," n. 过路人，行人, 经过者
passerby 的复数"
prognosis," n. 预知,预测,预后"
ratify," v. 批准, 认可"
specifically," adv. 特定地,明确地"
citizenship," n. 国籍, 市民权, 市民的身份"
philanthropist," n. 慈善家，博爱的人, 博爱主义者"
recede," vi. 后退,减弱
vt. 撤回"
costume," n. 服装,剧装
vt. 提供服装, 为...设计服装
adj. 服装打扮的"
urchin, n.顽童； 淘气鬼； <主英><动>猬； <动>海胆
reclaim," v. 开垦, 纠正, 收回"
fragile," adj. 易碎的,脆的,精细的"
assail, vt. 猛烈攻击，言语抨击
escapism, n. 逃避现实，逃避主义
mentally," adv. 心理上,精神上,用脑筋"
euphoric, adj. 欣快的
selectivity, n. 选择性，选择度
sociological, adj. 社会学的
locomotion," n. 运动, 移动, 转位"
conform," vt. 使一致,遵守,使顺从
vi. 一致,符合"
motorist, n. 驾车旅行的人，开汽车的人
capitalist," n. 资本家，资本主义者
adj. 资本主义的，有资本的"
irrational," n. 无理数
adj. 无理性的, 不合理的"
minefield," n. 雷区
n. 需小心应付的局势"
wearisome," adj. 使疲倦的, 使厌倦的, 厌烦的"
spotlight," n. 照明灯, 车头灯
公众注意中心"
conservationist, n. 自然资源保护论者
context," n. 上下文, 环境,背景"
contradict," vt. 反驳,与...矛盾"
retail," n. 零售
vt. 零售
adj. 零售的
adv. 以零售形式"
cyclic, adj.循环的，周期性的，环形的
revolve," vt. &vi. 旋转,考虑,循环"
cosmic, adj. 宇宙的，广大无边的，无限的
cosmos," n. 宇宙
(复数）cosmos或cosmoses:大波斯菊"
unsympathetic," adj. 不表同情的, 无情的, 不共鸣的"
temperance, n. 1. 节制(尤指饮食)；节欲 2. 戒酒
intermarry, v. 不同家族间通婚，内部通婚，近亲结婚
dampen," v. (使)潮湿, 使沮丧, 泼凉水"
ruse," n. 策略, 谋略"
upheaval," n. 举起, 隆起, 大变动"
strangely," adv. 奇妙地, 奇怪地, 不可思议地"
cognizance, n. 认知，[法]审理，注意，标记
repugnance, n. 不一致(厌恶)
dehydrate," v. （使）脱水, （使）干燥"
recurrence," n. 再现, 再发生, 反复"
impropriety," n. 不适当(不正确,用词错误)"
cereal," adj. 谷类(的),谷物(的)
n. 谷类食物"
inequality, n. 不平等，不平均，差异，多变性，&lt;数&gt;不等式
deplete," vt. 耗尽,使...空竭"
